CustomerID,Recency,Frequency,Monetary,Country,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Nama_Segmen
12346,326,1,77183.6,United Kingdom,1,1,5,115,7,Pelanggan Tidak Aktif
12347,2,7,4310.0,Iceland,5,5,5,555,15,Pelanggan Utama
12348,75,4,1797.24,Finland,2,4,4,244,10,Pelanggan Vakum Lama
12349,19,1,1757.55,Italy,4,1,4,414,9,Pelanggan yang Menjanjikan
12350,310,1,334.4,Norway,1,1,2,112,4,Pelanggan Tidak Aktif
12352,36,8,2506.04,Norway,3,5,5,355,13,Pelanggan Setia
12353,204,1,89.0,Bahrain,1,1,1,111,3,Pelanggan Tidak Aktif
12354,232,1,1079.4,Spain,1,1,4,114,6,Pelanggan Tidak Aktif
12355,214,1,459.4,Bahrain,1,1,2,112,4,Pelanggan Tidak Aktif
12356,23,3,2811.43,Portugal,4,3,5,435,12,Potensi Setia
12357,33,1,6207.67,Switzerland,4,1,5,415,10,Pelanggan yang Menjanjikan
12358,2,2,1168.06,Austria,5,2,4,524,11,Potensi Setia
12359,58,4,6372.58,Cyprus,3,4,5,345,12,Pelanggan Setia
12360,52,3,2662.06,Austria,3,3,5,335,11,Perlu Perhatian
12361,287,1,189.9,Belgium,1,1,1,111,3,Pelanggan Tidak Aktif
12362,3,10,5226.23,Belgium,5,5,5,555,15,Pelanggan Utama
12363,110,2,552.0,Unspecified,2,2,3,223,7,Pelanggan Berisiko
12364,8,4,1313.1,Belgium,5,4,4,544,13,Pelanggan Setia
12365,291,2,641.38,Cyprus,1,2,3,123,6,Pelanggan Berisiko
12367,4,1,168.9,Denmark,5,1,1,511,7,Pelanggan Baru
12370,51,4,3545.69,Cyprus,3,4,5,345,12,Pelanggan Setia
12371,45,2,1887.96,Switzerland,3,2,4,324,9,Pelanggan Tidak Aktif
12372,72,3,1298.04,Denmark,3,3,4,334,10,Perlu Perhatian
12373,311,1,364.6,Austria,1,1,2,112,4,Pelanggan Tidak Aktif
12374,25,1,742.9300000000001,Austria,4,1,3,413,8,Pelanggan yang Menjanjikan
12375,11,2,457.5,Finland,5,2,2,522,9,Potensi Setia
12377,315,2,1628.12,Switzerland,1,2,4,124,7,Pelanggan Berisiko
12378,130,1,4008.62,Switzerland,2,1,5,215,8,Pelanggan Tidak Aktif
12379,82,2,852.24,Belgium,2,2,3,223,7,Pelanggan Berisiko
12380,22,4,2724.81,Belgium,4,4,5,445,13,Pelanggan Setia
12381,5,5,1845.31,Norway,5,4,4,544,13,Pelanggan Setia
12383,185,5,1850.56,Belgium,1,4,4,144,9,Pelanggan Hilang
12384,29,2,585.27,Switzerland,4,2,3,423,9,Potensi Setia
12386,338,2,401.9,Australia,1,2,2,122,5,Pelanggan Berisiko
12388,16,6,2780.66,Australia,4,4,5,445,13,Pelanggan Setia
12390,80,1,549.84,Belgium,2,1,3,213,6,Pelanggan Tidak Aktif
12391,22,1,460.89,Cyprus,4,1,2,412,7,Pelanggan yang Menjanjikan
12393,72,4,1582.6000000000001,Australia,3,4,4,344,11,Pelanggan Setia
12394,64,2,1272.48,Belgium,3,2,4,324,9,Pelanggan Tidak Aktif
12395,19,12,3018.63,Belgium,4,5,5,455,14,Pelanggan Setia
12397,36,2,2409.9,Belgium,3,2,5,325,10,Pelanggan Tidak Aktif
12398,46,1,1635.6599999999999,Switzerland,3,1,4,314,8,Pelanggan Tidak Aktif
12399,119,4,1108.65,Belgium,2,4,4,244,10,Pelanggan Vakum Lama
12401,303,1,84.3,Belgium,1,1,1,111,3,Pelanggan Tidak Aktif
12402,323,1,225.6,Belgium,1,1,1,111,3,Pelanggan Tidak Aktif
12403,50,1,427.7,Denmark,3,1,2,312,6,Pelanggan Tidak Aktif
12405,149,1,1710.39,Finland,2,1,4,214,7,Pelanggan Tidak Aktif
12406,22,2,3415.3,Denmark,4,2,5,425,11,Potensi Setia
12407,50,5,1708.1200000000001,Belgium,3,4,4,344,11,Pelanggan Setia
12408,33,5,2888.55,Belgium,4,4,5,445,13,Pelanggan Setia
12409,79,3,11072.67,Switzerland,2,3,5,235,10,Pelanggan Vakum Lama
12410,309,2,693.3299999999999,Switzerland,1,2,3,123,6,Pelanggan Berisiko
12412,75,3,1226.88,Denmark,2,3,4,234,9,Pelanggan Vakum Lama
12413,67,3,758.1,France,3,3,3,333,9,Perlu Perhatian
12414,217,3,562.41,Austria,1,3,3,133,7,Pelanggan Berisiko
12415,24,21,124914.53,Australia,4,5,5,455,14,Pelanggan Setia
12417,3,9,3649.1,Belgium,5,5,5,555,15,Pelanggan Utama
12418,113,1,668.58,Switzerland,2,1,3,213,6,Pelanggan Tidak Aktif
